Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_stats_shooting,PKatt_stats_shooting,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG
1081,Idrissa Guèye,sn SEN,FW,Metz,fr Ligue 1,18.0,2006,3,1,132,1.5,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1081,sn SEN,FW,fr Ligue 1,18,2006,1.5,0,2,0,0.0,1.36,0.00,0.00,,0,0,1337,sn SEN,FW,fr Ligue 1,18,2006,3,132,44,4.3,1.5,1,89,0,2,22,0,0.00,2,5,-3,-2.05,-0.79,1081,sn SEN,FW,fr Ligue 1,18,2006,1.5,0,0,0,3,2,0,0,0,2,0
1082,Pape Gueye,sn SEN,MF,Villarreal,es La Liga,26.0,1999,30,26,2131,23.7,5,2,7,4,1,1,8,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1082,sn SEN,MF,es La Liga,26,1999,23.7,5,47,13,27.7,1.98,0.55,0.09,0.31,1,1,1340,sn SEN,MF,es La Liga,26,1999,30,2131,71,62.3,23.7,26,79,10,4,23,3,1.87,47,28,+19,+0.80,+0.31,1082,sn SEN,MF,es La Liga,26,1999,23.7,8,0,0,35,54,2,14,35,22,0
1083,Morgan Guilavogui,gn GUI,MF,Lens,fr Ligue 1,27.0,1998,16,3,491,5.5,1,0,1,1,0,0,3,1,0.18,,,,,,,,,,,,,,,,,,,,,,,,,1083,gn GUI,MF,fr Ligue 1,27,1998,5.5,1,10,2,20.0,1.83,0.37,0.10,0.50,0,0,1341,gn GUI,MF,fr Ligue 1,27,1998,16,491,31,16.0,5.5,3,75,1,13,21,0,2.31,9,5,+4,+0.73,-0.21,1083,gn GUI,MF,fr Ligue 1,27,1998,5.5,3,1,0,15,12,4,4,3,10,0
1084,Frederic Guilbert,fr FRA,"DF,MF",Nantes,fr Ligue 1,30.0,1994,8,7,607,6.7,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1084,fr FRA,"DF,MF",fr Ligue 1,30,1994,6.7,0,7,2,28.6,1.04,0.30,0.00,0.00,0,0,1342,fr FRA,"DF,MF",fr Ligue 1,30,1994,8,607,76,19.8,6.7,7,84,3,1,16,3,0.75,5,6,-1,-0.15,+0.66,1084,fr FRA,"DF,MF",fr Ligue 1,30,1994,6.7,1,0,0,7,13,0,17,19,12,0
1085,Luis Guilherme,br BRA,FW,West Ham United,eng Premier League,19.0,2006,5,1,125,1.4,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1085,br BRA,FW,eng Premier League,19,2006,1.4,0,1,0,0.0,0.72,0.00,0.00,,0,0,1344,br BRA,FW,eng Premier League,19,2006,5,125,25,3.7,1.4,1,45,0,4,20,3,0.40,2,2,0,0.00,+0.52,1085,br BRA,FW,eng Premier League,19,2006,1.4,0,0,0,0,0,0,0,0,1,0
1086,Bruno Guimarães,br BRA,MF,Newcastle United,eng Premier League,27.0,1997,29,27,2453,27.3,9,5,14,7,2,2,6,0,0.44,,,,,,,,,,,,,,,,,,,,,,,,,1086,br BRA,MF,eng Premier League,27,1997,27.3,9,42,23,54.8,1.54,0.84,0.17,0.30,2,2,1345,br BRA,MF,eng Premier League,27,1997,29,2453,85,71.7,27.3,27,88,19,2,37,1,1.45,43,36,+7,+0.26,+1.09,1086,br BRA,MF,eng Premier League,27,1997,27.3,6,0,0,45,75,2,82,16,41,0
1087,Daouda Guindo,ml MLI,DF,Brest,fr Ligue 1,22.0,2002,25,19,1686,18.7,1,1,2,1,0,0,4,1,0.11,,,,,,,,,,,,,,,,,,,,,,,,,1087,ml MLI,DF,fr Ligue 1,22,2002,18.7,1,21,5,23.8,1.12,0.27,0.05,0.20,0,0,1346,ml MLI,DF,fr Ligue 1,22,2002,25,1686,67,55.1,18.7,19,83,12,6,19,4,1.20,22,26,-4,-0.21,+0.31,1087,ml MLI,DF,fr Ligue 1,22,2002,18.7,4,1,0,26,15,4,38,30,30,0
1088,Bahereba Guirassy,fr FRA,"FW,MF",Nantes,fr Ligue 1,18.0,2006,20,9,821,9.1,2,1,3,2,0,0,2,0,0.33,,,,,,,,,,,,,,,,,,,,,,,,,1088,fr FRA,"FW,MF",fr Ligue 1,18,2006,9.1,2,15,7,46.7,1.64,0.77,0.13,0.29,0,0,1347,fr FRA,"FW,MF",fr Ligue 1,18,2006,20,821,41,26.8,9.1,9,65,0,11,21,8,0.85,9,11,-2,-0.22,+0.62,1088,fr FRA,"FW,MF",fr Ligue 1,18,2006,9.1,2,0,0,15,9,3,24,5,13,0
1089,Serhou Guirassy,gn GUI,FW,Dortmund,de Bundesliga,29.0,1996,33,27,2337,26.0,17,1,18,16,1,3,3,0,0.65,,,,,,,,,,,,,,,,,,,,,,,,,1089,gn GUI,FW,de Bundesliga,29,1996,26.0,17,84,40,47.6,3.23,1.54,0.19,0.40,1,3,1348,gn GUI,FW,de Bundesliga,29,1996,33,2337,71,76.4,26.0,27,81,9,6,24,1,2.12,52,22,+30,+1.16,+0.41,1089,gn GUI,FW,de Bundesliga,29,1996,26.0,3,0,0,37,36,7,4,0,1,0
1090,Marc Guiu,es ESP,FW,Sunderland,eng Premier League,19.0,2006,2,0,15,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1090,es ESP,FW,eng Premier League,19,2006,0.2,0,1,0,0.0,6.00,0.00,0.00,,0,0,1349,es ESP,FW,eng Premier League,19,2006,2,15,8,0.4,0.2,0,,0,2,8,1,1.50,1,1,0,0.00,+0.16,1090,es ESP,FW,eng Premier League,19,2006,0.2,0,0,0,0,0,0,0,0,0,0
1091,Marc Guiu,es ESP,FW,Chelsea,eng Premier League,19.0,2006,8,1,257,2.9,0,1,1,0,0,0,1,0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,1091,es ESP,FW,eng Premier League,19,2006,2.9,0,12,2,16.7,4.20,0.70,0.00,0.00,0,0,1350,es ESP,FW,eng Premier League,19,2006,8,257,32,7.5,2.9,1,75,0,7,26,17,1.63,6,2,+4,+1.40,+1.34,1091,es ESP,FW,eng Premier League,19,2006,2.9,1,0,0,9,2,2,0,0,0,0
1092,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35.0,1990,23,23,2008,22.3,0,0,0,0,0,0,1,0,0.00,64,hu HUN,GK,de Bundesliga,35,1990,23,23,2008,22.3,32,1.43,83,52,63.9,12,4,7,9,39.1,2,2,0,0,1092,hu HUN,GK,de Bundesliga,35,1990,22.3,0,0,0,,0.00,0.00,,,0,0,1352,hu HUN,GK,de Bundesliga,35,1990,23,2008,87,65.6,22.3,23,87,22,0,,6,1.74,41,32,+9,+0.40,-0.45,1092,hu HUN,GK,de Bundesliga,35,1990,22.3,1,0,0,0,0,0,0,0,0,0
1093,Arda Güler,tr TUR,MF,Real Madrid,es La Liga,20.0,2005,33,25,2014,22.4,4,9,13,4,0,0,1,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,1093,tr TUR,MF,es La Liga,20,2005,22.4,4,49,19,38.8,2.19,0.85,0.08,0.21,0,0,1353,tr TUR,MF,es La Liga,20,2005,33,2014,61,58.9,22.4,25,72,3,8,27,0,2.30,43,21,+22,+0.98,-0.30,1093,tr TUR,MF,es La Liga,20,2005,22.4,1,0,0,21,32,3,129,8,28,0
1094,Gerard Gumbau,es ESP,MF,Rayo Vallecano,es La Liga,30.0,1994,28,14,1175,13.1,0,3,3,0,0,0,4,0,0.23,,,,,,,,,,,,,,,,,,,,,,,,,1094,es ESP,MF,es La Liga,30,1994,13.1,0,20,5,25.0,1.53,0.38,0.00,0.00,0,0,1354,es ESP,MF,es La Liga,30,1994,28,1175,42,34.4,13.1,14,69,3,14,15,10,1.21,17,21,-4,-0.31,-0.35,1094,es ESP,MF,es La Liga,30,1994,13.1,4,0,0,38,5,0,52,11,16,0
1095,Angus Gunn,sct SCO,GK,Nottingham Forest,eng Premier League,29.0,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,65,sct SCO,GK,eng Premier League,29,1996,1,0,45,0.5,0,0.00,0,0,,0,0,0,0,,0,0,0,0,1095,sct SCO,GK,eng Premier League,29,1996,0.5,0,0,0,,0.00,0.00,,,0,0,1356,sct SCO,GK,eng Premier League,29,1996,1,45,45,1.3,0.5,0,,0,1,45,13,1.00,0,0,0,0.00,+0.08,1095,sct SCO,GK,eng Premier League,29,1996,0.5,0,0,0,0,0,0,0,0,0,0
1096,Christian Günter,de GER,DF,Freiburg,de Bundesliga,32.0,1993,24,18,1547,17.2,0,3,3,0,0,0,3,0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,1096,de GER,DF,de Bundesliga,32,1993,17.2,0,9,0,0.0,0.52,0.00,0.00,,0,0,1357,de GER,DF,de Bundesliga,32,1993,24,1547,64,50.6,17.2,18,80,9,6,17,10,1.33,21,31,-10,-0.58,-0.82,1096,de GER,DF,de Bundesliga,32,1993,17.2,3,0,0,10,6,5,73,10,12,0
1097,Jon Guridi,es ESP,"MF,FW",Alavés,es La Liga,30.0,1995,28,15,1238,13.8,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1097,es ESP,"MF,FW",es La Liga,30,1995,13.8,0,15,4,26.7,1.09,0.29,0.00,0.00,0,0,1358,es ESP,"MF,FW",es La Liga,30,1995,28,1238,44,36.2,13.8,15,66,1,13,19,9,1.11,15,25,-10,-0.73,-0.64,1097,es ESP,"MF,FW",es La Liga,30,1995,13.8,1,0,0,15,8,2,12,10,19,0
1098,Gorka Guruzeta,es ESP,FW,Athletic Club,es La Liga,28.0,1996,35,28,2363,26.3,10,3,13,9,1,1,6,1,0.46,,,,,,,,,,,,,,,,,,,,,,,,,1098,es ESP,FW,es La Liga,28,1996,26.3,10,84,32,38.1,3.20,1.22,0.11,0.28,1,1,1360,es ESP,FW,es La Liga,28,1996,35,2363,68,69.1,26.3,28,77,13,7,29,2,1.20,31,37,-6,-0.23,+0.54,1098,es ESP,FW,es La Liga,28,1996,26.3,6,1,1,49,30,11,7,11,6,0
1099,Malo Gusto,fr FRA,"DF,MF",Chelsea,eng Premier League,22.0,2003,34,26,2261,25.1,2,3,5,2,0,0,5,1,0.20,,,,,,,,,,,,,,,,,,,,,,,,,1099,fr FRA,"DF,MF",eng Premier League,22,2003,25.1,2,12,6,50.0,0.48,0.24,0.17,0.33,0,0,1361,fr FRA,"DF,MF",eng Premier League,22,2003,34,2261,67,66.1,25.1,26,80,10,8,24,1,1.32,42,35,+7,+0.28,+0.36,1099,fr FRA,"DF,MF",eng Premier League,22,2003,25.1,5,1,1,20,20,1,58,30,23,1
1100,Linus Güther,de GER,MF,Union Berlin,de Bundesliga,15.0,2010,1,0,7,0.1,0,0,0,0,0,0,1,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1100,de GER,MF,de Bundesliga,15,2010,0.1,0,0,0,,0.00,0.00,,,0,0,1362,de GER,MF,de Bundesliga,15,2010,1,7,7,0.2,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.41,1100,de GER,MF,de Bundesliga,15,2010,0.1,1,0,0,1,0,0,0,0,0,0
1101,Miguel Gutiérrez,es ESP,"MF,DF",Napoli,it Serie A,24.0,2001,28,15,1488,16.5,1,1,2,1,0,0,0,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,1101,es ESP,"MF,DF",it Serie A,24,2001,16.5,1,15,5,33.3,0.91,0.30,0.07,0.20,0,0,1363,es ESP,"MF,DF",it Serie A,24,2001,28,1488,53,43.5,16.5,15,82,9,13,20,6,1.89,24,18,+6,+0.36,-0.38,1101,es ESP,"MF,DF",it Serie A,24,2001,16.5,0,0,0,19,28,1,48,7,22,0
1102,Albert Guðmundsson,is ISL,"FW,MF",Fiorentina,it Serie A,28.0,1997,33,27,2250,25.0,5,4,9,2,3,3,4,1,0.24,,,,,,,,,,,,,,,,,,,,,,,,,1102,is ISL,"FW,MF",it Serie A,28,1997,25.0,5,41,15,36.6,1.64,0.60,0.05,0.13,3,3,1364,is ISL,"FW,MF",it Serie A,28,1997,33,2250,68,65.8,25.0,27,78,9,6,26,2,1.00,29,28,+1,+0.04,+0.81,1102,is ISL,"FW,MF",it Serie A,28,1997,25.0,4,1,0,34,30,6,54,3,4,0
1103,Joško Gvardiol,hr CRO,DF,Manchester City,eng Premier League,23.0,2002,18,16,1372,15.2,2,2,4,2,0,0,2,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,1103,hr CRO,DF,eng Premier League,23,2002,15.2,2,17,6,35.3,1.12,0.39,0.12,0.33,0,0,1365,hr CRO,DF,eng Premier League,23,2002,18,1372,76,40.1,15.2,16,83,12,2,24,2,2.17,37,13,+24,+1.57,+0.78,1103,hr CRO,DF,eng Premier League,23,2002,15.2,2,0,0,16,7,0,2,16,13,0
1104,Viktor Gyökeres,se SWE,FW,Arsenal,eng Premier League,27.0,1998,36,26,2224,24.7,14,1,15,11,3,3,5,0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,1104,se SWE,FW,eng Premier League,27,1998,24.7,14,55,22,40.0,2.23,0.89,0.20,0.50,3,3,1366,se SWE,FW,eng Premier League,27,1998,36,2224,62,65.0,24.7,26,76,10,10,26,0,2.25,51,14,+37,+1.50,+0.97,1104,se SWE,FW,eng Premier League,27,1998,24.7,5,0,0,35,31,4,8,1,5,0
1105,Erling Haaland,no NOR,FW,Manchester City,eng Premier League,25.0,2000,35,34,2953,32.8,27,8,35,24,3,4,2,0,0.98,,,,,,,,,,,,,,,,,,,,,,,,,1105,no NOR,FW,eng Premier League,25,2000,32.8,27,126,59,46.8,3.84,1.80,0.19,0.41,3,4,1367,no NOR,FW,eng Premier League,25,2000,35,2953,84,86.3,32.8,34,86,26,1,18,1,2.06,69,32,+37,+1.13,+0.16,1105,no NOR,FW,eng Premier League,25,2000,32.8,2,0,0,24,25,5,3,4,7,0
1106,Janik Haberer,de GER,MF,Union Berlin,de Bundesliga,31.0,1994,28,20,1646,18.3,0,1,1,0,0,0,8,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,1106,de GER,MF,de Bundesliga,31,1994,18.3,0,11,1,9.1,0.60,0.05,0.00,0.00,0,0,1368,de GER,MF,de Bundesliga,31,1994,28,1646,59,53.8,18.3,20,74,7,8,22,4,1.00,17,39,-22,-1.20,-1.71,1106,de GER,MF,de Bundesliga,31,1994,18.3,8,0,0,24,21,1,67,10,19,0
1107,Robin Hack,de GER,MF,Gladbach,de Bundesliga,26.0,1998,8,3,320,3.6,1,0,1,1,0,0,1,0,0.28,,,,,,,,,,,,,,,,,,,,,,,,,1107,de GER,MF,de Bundesliga,26,1998,3.6,1,11,4,36.4,3.09,1.13,0.09,0.25,0,0,1369,de GER,MF,de Bundesliga,26,1998,8,320,40,10.5,3.6,3,80,2,5,16,2,1.38,3,4,-1,-0.28,+0.05,1107,de GER,MF,de Bundesliga,26,1998,3.6,1,0,0,4,3,1,14,1,2,0
1108,Amadou Haidara,ml MLI,MF,Lens,fr Ligue 1,27.0,1998,7,2,259,2.9,1,1,2,1,0,0,0,0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,1108,ml MLI,MF,fr Ligue 1,27,1998,2.9,1,2,2,100.0,0.69,0.69,0.50,0.50,0,0,1371,ml MLI,MF,fr Ligue 1,27,1998,7,259,37,8.5,2.9,2,62,0,5,27,7,1.86,5,1,+4,+1.39,+0.52,1108,ml MLI,MF,fr Ligue 1,27,1998,2.9,0,0,0,4,2,0,0,2,0,0
1109,Albian Hajdari,xk KVX,DF,Hoffenheim,de Bundesliga,22.0,2003,30,28,2434,27.0,1,2,3,1,0,0,10,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,1109,xk KVX,DF,de Bundesliga,22,2003,27.0,1,19,4,21.1,0.70,0.15,0.05,0.25,0,0,1372,xk KVX,DF,de Bundesliga,22,2003,30,2434,81,79.5,27.0,28,85,20,2,32,1,1.77,52,37,+15,+0.55,+0.84,1109,xk KVX,DF,de Bundesliga,22,2003,27.0,10,0,0,43,23,0,19,42,38,0
1110,Achraf Hakimi,ma MAR,DF,Paris Saint-Germain,fr Ligue 1,26.0,1998,18,15,1375,15.3,2,2,4,2,0,0,3,1,0.26,,,,,,,,,,,,,,,,,,,,,,,,,1110,ma MAR,DF,fr Ligue 1,26,1998,15.3,2,27,9,33.3,1.77,0.59,0.07,0.22,0,0,1373,ma MAR,DF,fr Ligue 1,26,1998,18,1375,76,44.9,15.3,15,84,12,3,39,1,2.22,32,15,+17,+1.11,-0.38,1110,ma MAR,DF,fr Ligue 1,26,1998,15.3,3,1,0,9,17,4,43,11,13,0
1111,Lewis Hall,eng ENG,DF,Newcastle United,eng Premier League,20.0,2004,30,24,2181,24.2,1,1,2,1,0,0,4,0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,1111,eng ENG,DF,eng Premier League,20,2004,24.2,1,25,6,24.0,1.03,0.25,0.04,0.17,0,0,1374,eng ENG,DF,eng Premier League,20,2004,30,2181,73,63.8,24.2,24,86,19,6,19,4,1.30,34,39,-5,-0.21,-0.42,1111,eng ENG,DF,eng Premier League,20,2004,24.2,4,0,0,17,40,0,102,29,31,0
1112,Adil Hamdani,fr FRA,MF,Lyon,fr Ligue 1,16.0,2009,4,0,27,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1112,fr FRA,MF,fr Ligue 1,16,2009,0.3,0,2,0,0.0,6.67,0.00,0.00,,0,0,1375,fr FRA,MF,fr Ligue 1,16,2009,4,27,7,0.9,0.3,0,,0,4,7,5,1.50,1,0,+1,+3.33,+2.98,1112,fr FRA,MF,fr Ligue 1,16,2009,0.3,0,0,0,1,0,0,4,0,0,0
1113,Pierre-Yves Hamel,fr FRA,FW,Paris FC,fr Ligue 1,31.0,1994,2,1,78,0.9,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1113,fr FRA,FW,fr Ligue 1,31,1994,0.9,0,0,0,,0.00,0.00,,,0,0,1376,fr FRA,FW,fr Ligue 1,31,1994,2,78,39,2.5,0.9,1,70,0,1,8,1,0.00,0,2,-2,-2.31,-2.28,1113,fr FRA,FW,fr Ligue 1,31,1994,0.9,0,0,0,2,0,0,0,1,0,0
1114,Hilan Hamzaoui,fr FRA,DF,Marseille,fr Ligue 1,19.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1114,fr FRA,DF,fr Ligue 1,19,2006,0.0,0,0,0,,0.00,0.00,,,0,0,1377,fr FRA,DF,fr Ligue 1,19,2006,1,3,3,0.1,0.0,0,,0,1,3,4,0.00,0,0,0,0.00,-0.53,1114,fr FRA,DF,fr Ligue 1,19,2006,0.0,0,0,0,0,0,0,0,0,0,0
1115,Andreas Hanche-Olsen,no NOR,DF,Mainz 05,de Bundesliga,28.0,1997,13,8,851,9.5,0,1,1,0,0,0,3,0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,1115,no NOR,DF,de Bundesliga,28,1997,9.5,0,6,3,50.0,0.63,0.32,0.00,0.00,0,0,1378,no NOR,DF,de Bundesliga,28,1997,13,851,65,27.8,9.5,8,83,5,5,38,2,0.54,9,13,-4,-0.42,-0.22,1115,no NOR,DF,de Bundesliga,28,1997,9.5,3,0,0,13,6,2,0,13,5,1
1116,Dávid Hancko,sk SVK,DF,Atlético Madrid,es La Liga,27.0,1997,30,27,2432,27.0,0,2,2,0,0,0,2,0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,1116,sk SVK,DF,es La Liga,27,1997,27.0,0,21,5,23.8,0.78,0.19,0.00,0.00,0,0,1379,sk SVK,DF,es La Liga,27,1997,30,2432,81,71.1,27.0,27,87,24,3,25,4,1.90,48,31,+17,+0.63,+0.54,1116,sk SVK,DF,es La Liga,27,1997,27.0,2,0,0,15,4,2,29,19,27,0
1117,Florent Hanin,dz ALG,"DF,MF",Angers,fr Ligue 1,35.0,1990,25,9,865,9.6,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1117,dz ALG,"DF,MF",fr Ligue 1,35,1990,9.6,0,3,0,0.0,0.31,0.00,0.00,,0,0,1380,dz ALG,"DF,MF",fr Ligue 1,35,1990,25,865,35,28.3,9.6,9,72,1,16,14,9,0.96,9,14,-5,-0.52,+0.05,1117,dz ALG,"DF,MF",fr Ligue 1,35,1990,9.6,0,0,0,8,8,0,26,13,8,0
1118,Isak Hansen-Aarøen,no NOR,MF,Werder Bremen,de Bundesliga,20.0,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1118,no NOR,MF,de Bundesliga,20,2004,0.0,0,0,0,,0.00,0.00,,,0,0,1381,no NOR,MF,de Bundesliga,20,2004,1,2,2,0.1,0.0,0,,0,1,2,6,0.00,0,0,0,0.00,+0.68,1118,no NOR,MF,de Bundesliga,20,2004,0.0,0,0,0,0,0,0,0,0,2,0
1119,Taichi Hara,jp JPN,FW,St Pauli,de Bundesliga,26.0,1999,4,0,27,0.3,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1119,jp JPN,FW,de Bundesliga,26,1999,0.3,0,1,0,0.0,3.33,0.00,0.00,,0,0,1383,jp JPN,FW,de Bundesliga,26,1999,4,27,7,0.9,0.3,0,,0,4,7,10,0.75,0,1,-1,-3.33,-2.44,1119,jp JPN,FW,de Bundesliga,26,1999,0.3,0,0,0,0,0,0,0,0,0,0
1120,Hákon Haraldsson,is ISL,MF,Lille,fr Ligue 1,22.0,2003,32,29,2460,27.3,8,2,10,8,0,0,6,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,1120,is ISL,MF,fr Ligue 1,22,2003,27.3,8,50,17,34.0,1.83,0.62,0.16,0.47,0,0,1384,is ISL,MF,fr Ligue 1,22,2003,32,2460,77,80.4,27.3,29,83,9,3,22,0,1.81,42,26,+16,+0.59,+0.74,1120,is ISL,MF,fr Ligue 1,22,2003,27.3,6,0,0,28,43,0,75,12,15,0
1121,Conrad Harder,dk DEN,FW,RB Leipzig,de Bundesliga,20.0,2005,29,8,932,10.4,3,3,6,3,0,0,3,0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,1121,dk DEN,FW,de Bundesliga,20,2005,10.4,3,42,13,31.0,4.06,1.26,0.07,0.23,0,0,1385,dk DEN,FW,de Bundesliga,20,2005,29,932,32,30.5,10.4,8,77,3,21,15,2,1.83,18,22,-4,-0.39,-1.36,1121,dk DEN,FW,de Bundesliga,20,2005,10.4,3,0,0,21,18,4,13,7,6,0
1122,Jack Harrison,eng ENG,"FW,MF",Fiorentina,it Serie A,28.0,1996,15,10,981,10.9,1,3,4,1,0,0,1,0,0.37,,,,,,,,,,,,,,,,,,,,,,,,,1122,eng ENG,"FW,MF",it Serie A,28,1996,10.9,1,13,4,30.8,1.19,0.37,0.08,0.25,0,0,1387,eng ENG,"FW,MF",it Serie A,28,1996,15,981,65,28.7,10.9,10,81,6,5,34,2,1.60,13,10,+3,+0.28,+0.72,1122,eng ENG,"FW,MF",it Serie A,28,1996,10.9,1,0,0,9,7,0,56,2,6,0
1123,Jack Harrison,eng ENG,FW,Leeds United,eng Premier League,28.0,1996,11,1,269,3.0,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1123,eng ENG,FW,eng Premier League,28,1996,3.0,0,6,2,33.3,2.01,0.67,0.00,0.00,0,0,1388,eng ENG,FW,eng Premier League,28,1996,11,269,24,7.9,3.0,1,65,0,10,20,9,1.09,1,5,-4,-1.34,-1.25,1123,eng ENG,FW,eng Premier League,28,1996,3.0,0,0,0,1,4,0,17,4,2,0
1124,Abdou Harroui,nl NED,MF,Hellas Verona,it Serie A,27.0,1998,23,11,907,10.1,1,0,1,0,1,1,3,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1124,nl NED,MF,it Serie A,27,1998,10.1,1,12,2,16.7,1.19,0.20,0.00,0.00,1,1,1389,nl NED,MF,it Serie A,27,1998,23,907,39,26.5,10.1,11,66,0,12,15,11,0.57,7,21,-14,-1.39,-0.60,1124,nl NED,MF,it Serie A,27,1998,10.1,3,0,0,22,1,2,28,1,17,0
1125,Quilindschy Hartman,nl NED,DF,Burnley,eng Premier League,23.0,2001,21,21,1825,20.3,0,5,5,0,0,0,1,0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1125,nl NED,DF,eng Premier League,23,2001,20.3,0,9,3,33.3,0.44,0.15,0.00,0.00,0,0,1390,nl NED,DF,eng Premier League,23,2001,21,1825,87,53.4,20.3,21,87,16,0,,9,0.52,18,40,-22,-1.08,-0.24,1125,nl NED,DF,eng Premier League,23,2001,20.3,1,0,0,13,3,1,74,32,31,0
1126,Haissem Hassan,eg EGY,"MF,FW",Oviedo,es La Liga,23.0,2002,37,20,1942,21.6,0,3,3,0,0,0,1,0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,1126,eg EGY,"MF,FW",es La Liga,23,2002,21.6,0,34,8,23.5,1.58,0.37,0.00,0.00,0,0,1392,eg EGY,"MF,FW",es La Liga,23,2002,37,1942,52,56.8,21.6,20,71,3,17,30,1,0.76,11,33,-22,-1.02,-0.29,1126,eg EGY,"MF,FW",es La Liga,23,2002,21.6,1,0,0,12,25,3,113,6,26,0
1127,Hans Hateboer,nl NED,"DF,MF",Rennes,fr Ligue 1,31.0,1994,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1127,nl NED,"DF,MF",fr Ligue 1,31,1994,0.2,0,0,0,,0.00,0.00,,,0,0,1393,nl NED,"DF,MF",fr Ligue 1,31,1994,1,22,22,0.7,0.2,0,,0,1,22,3,1.00,0,1,-1,-4.09,-4.39,1127,nl NED,"DF,MF",fr Ligue 1,31,1994,0.2,0,0,0,2,0,0,0,0,0,0
1128,Hans Hateboer,nl NED,"DF,MF",Lyon,fr Ligue 1,31.0,1994,15,8,740,8.2,0,0,0,0,0,0,0,1,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1128,nl NED,"DF,MF",fr Ligue 1,31,1994,8.2,0,7,1,14.3,0.85,0.12,0.00,0.00,0,0,1394,nl NED,"DF,MF",fr Ligue 1,31,1994,15,740,49,24.2,8.2,8,74,3,7,21,7,1.87,12,9,+3,+0.36,-0.02,1128,nl NED,"DF,MF",fr Ligue 1,31,1994,8.2,0,1,0,8,3,1,22,10,10,0
